YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1999   -9.3   -9.9  999.9  999.9   -1.8    2.9    6.6    6.7    2.8   -0.3   -4.2   -4.9    -8.1   999.9     5.4    -0.6   -1.71
2000   -6.8   -9.7  999.9   -0.4   -0.4    4.9    6.8    6.4    4.1   -0.8   -2.6  999.9    -7.1    -2.4     6.0     0.2   -0.82
2001   -6.8   -8.0   -5.6   -2.0    1.0    5.2    6.2    7.1    4.6    1.0   -2.7   -2.9    -6.8    -2.2     6.2     1.0   -0.47
2002   -6.7  -11.6   -8.9   -4.6    2.7    4.4    6.3    5.9    4.6   -0.5   -2.0   -3.8    -7.1    -3.6     5.5     0.7   -1.11
2003  999.9  999.9  999.9   -3.6    1.8    5.6    7.7    8.3    5.7    2.8   -3.0   -2.7   999.9    -2.9     7.2     1.8   -0.15
2004   -5.3   -5.1   -8.9   -3.4    2.6    5.4    6.0    7.2    3.8    1.4   -1.4  999.9    -4.4    -3.2     6.2     1.3   -0.03
2005  999.9   -3.7   -2.4   -1.6  999.9    5.2    7.5    6.7    3.4   -0.6   -1.6   -4.0   999.9     0.2     6.5     0.4    0.17
2006   -9.6   -4.6   -2.5   -3.4    2.0    4.5    7.5    7.1    4.9    1.1   -4.6   -6.3    -6.1    -1.3     6.4     0.5   -0.13
2007   -6.6   -2.2   -7.2   -4.6    0.0    4.4    7.9    8.5  999.9  999.9   -3.4  999.9    -5.0    -3.9     6.9   999.9   -0.31
2008  999.9  999.9   -8.2  999.9    2.4    5.2  999.9  999.9    3.4   -0.5  999.9   -7.1   999.9    -3.1   999.9    -0.4  999.90
2009   -5.0   -5.2   -9.7   -3.0    0.0    4.3    7.8    7.5  999.9   -0.4   -6.0   -2.1    -5.8    -4.2     6.5    -1.3   -1.18
2010   -3.6   -0.9   -3.9   -0.7    5.1    6.5    7.8  999.9  999.9  999.9  999.9  999.9    -2.2     0.2     7.4   999.9    2.15
